Shot_ID,Type,Start_Time,End_Time,Duration,Status,Lyrics,Concept,Visual_Prompt,Image_Path,Video_Path
S001,Action,0.0,3.36400111648587,3.36400111648587,Pending,,"Rain-slicked neon alleys of Neo-Tokyo pulse under a violet haze, their glow bleeding into wet pavement as a sleek hoverbike blurs past holographic billboards. The rider — Kitty — glides in silhouette, leather-clad and electric purple-outlined, her motion arresting the frame with effortless rebellion.","**Keywords & Visual Details for AI Image Generator:**

*Scene Setting:*  
Neo-Tokyo alleyway at twilight or night — rain-slicked streets reflecting neon lights; violet atmospheric haze saturates the air; wet pavement mirrors glowing signs and streaks of motion blur; towering buildings with cyberpunk architecture lining both sides.

*Lighting & Atmosphere:*  
Neon glow from holographic billboards (blue, magenta, electric cyan) bleeding into rain-soaked surfaces; ambient violet sky tone casting a moody, cinematic ambiance; reflections shimmer on wet asphalt; low-angle perspective enhances depth and drama.

*Foreground Action:*  
A sleek, futuristic hoverbike — matte black with glowing purple accents — zips across the frame from left to right, leaving motion blur trails behind. Rider (Kitty) is in silhouette against neon backdrops, clad in form-fitting leather gear outlined in electric purple; hair flowing backward, posture confident and rebellious.

*Composition & Style:*  
Dynamic diagonal composition following bike’s trajectory; shallow depth of field blurs distant buildings while keeping rider and hoverbike sharp; cyberpunk aesthetic with high contrast, saturated colors, and cinematic lighting; no text overlays.

*Emotional Tone:*  
Effortless rebellion, urban grit, electric energy — a moment frozen in motion that feels both dangerous and beautiful.

— *Render style: Cyberpunk noir, neon-drenched, cinematic, motion-blur realism.*",,
S002,Action,3.36400111648587,6.513490356853535,3.149489240367666,Pending,,"Rain-slicked neon alleyways glow with electric violet haze as a sleek hoverbike blurs past holographic billboards, its rider — Kitty — silhouetted in leather and motion, her form outlined by streaks of purple light. The wet pavement reflects fractured neon, while floating ads flicker like dying stars above the city’s pulse.","**Scene Keywords & Visual Details:**

- **Setting:** Urban alleyway at night, rain-slicked streets reflecting neon  
- **Atmosphere:** Electric violet haze permeates air, moody cyberpunk ambiance  
- **Lighting:** Neon billboards cast fractured reflections on wet asphalt; holographic ads flicker above like dying stars  
- **Subject:** Sleek hoverbike in motion — blurred edges convey high speed  
- **Rider (Kitty):** Silhouetted figure clad in fitted leather gear, posture dynamic and athletic  
- **Light Trails:** Purple streaks trace rider’s form, emphasizing motion against dark backdrop  
- **Environment:** Gritty alley flanked by towering buildings with glowing signage; floating ads hover mid-air with glitchy, fading effects  
- **Style:** Cinematic cyberpunk, high contrast between neon glow and shadowed urban decay  
- **No Text Overlays:** Pure visual storytelling — focus on motion, color, light reflection, and atmospheric tension

---

**Prompt for AI Image Generator (e.g., Midjourney, DALL·E 3):**

*“A cinematic cyberpunk alleyway at night under electric violet haze. Rain-slicked pavement reflects fractured neon lights from towering holographic billboards that flicker like dying stars above. A sleek hoverbike blurs past in motion, its rider — Kitty — silhouetted against the glow, clad in leather, outlined by vivid purple light streaks emphasizing speed. Floating ads drift overhead with glitchy decay effects. High contrast, moody atmosphere, cinematic lighting, no text.”*",,
S003,Action,6.513490356853535,8.682,2.168509643146464,Pending,,"Rain-slicked neon alleyways pulse with electric violet haze as a sleek hoverbike zips past flickering holographic billboards. The rider — Kitty, leather-clad and silhouetted in glowing purple — glides effortlessly, her motion leaving a trail of chromatic afterimages against the wet cityscape.","**Keywords & Visual Details for AI Image Generator:**

- **Scene Setting:** Rain-slicked urban alleyway at night, neon-drenched, cyberpunk atmosphere  
- **Lighting:** Electric violet haze dominates; reflections shimmer on wet pavement and raindrops  
- **Foreground Action:** Sleek hoverbike zipping past — low to ground, glowing underbelly trails chromatic afterimages (RGB blur effect)  
- **Rider:** Silhouetted figure named Kitty, wearing tight-fitting leather gear with neon purple highlights or embedded glow elements  
- **Background Elements:** Flickering holographic billboards casting shifting light patterns; fragmented digital advertisements floating above alleyway  
- **Atmosphere:** Wet cityscape gleaming under artificial lights; rain streaks diagonally across frame; motion blur on bike and surroundings for speed and dynamism  
- **Color Palette:** Deep purples, electric blues, neon magentas — contrasted with dark shadows of the alley  
- **Mood:** Futuristic grit meets high-speed elegance; cinematic tension, immersive tech-noir vibe  
- **No Text Overlays**

*Style Note:* Think Blade Runner meets Ghost in the Shell — hyper-detailed, painterly motion blur, volumetric lighting, and saturated neon glow.",,
S004,Vocal,8.682,13.682,5.0,Pending,,"Kitty, lips parted mid-lyric, glows under a violet neon wash as her silhouette cuts through rain-drenched air — eyes locked forward, smirk curling at the corner of her mouth. Her leather-clad form blurs slightly with motion, haloed by electric purple reflections from flickering holographic signs overhead.","**Prompt:**

A dynamic, cinematic portrait of a stylized female figure—Kitty—in mid-performance under a moody, rain-slicked urban night. She is captured mid-song, lips parted as if singing a lyric, eyes intensely focused forward with a confident smirk curling at the corner of her mouth. Her silhouette glows softly against the dark background, bathed in an electric violet neon wash that pulses through the scene.

She wears sleek, form-fitting leather attire—jacket, pants, boots—with sharp lines catching fragmented light. Motion blur trails gently around her limbs, suggesting rapid movement or dance, adding energy and dynamism to the frame.

Above, flickering holographic signs cast jagged reflections of electric purple and magenta across wet pavement and rain-splattered air. The neon glow refracts off water droplets in mid-air, creating a dreamlike halo effect around her form. Rain streaks diagonally across the scene, enhancing depth and texture while mirroring the neon light.

The atmosphere is gritty yet glamorous—neo-noir meets cyberpunk glamour—with saturated colors dominated by deep purples, electric blues, and smoky blacks. No text overlays. Focus on expression, motion, and ambient lighting to convey emotion and energy.

**Keywords for AI Image Generator:**  
cyberpunk, neon night, rain-slicked street, female performer, leather outfit, glowing silhouette, violet neon glow, holographic signs, motion blur, electric purple reflections, confident smirk, cinematic lighting, urban atmosphere, rainy cityscape, dynamic pose, singing mid-lyric, stylized portrait, high contrast, dramatic mood, futuristic noir",,
S005,Vocal,13.682,18.682,5.0,Pending,,"Kitty leans back barefoot atop her hoverbike, silk and chrome armor catching the flickering neon glow above as she laughs with her companion. The cop car looms behind them, frozen mid-sentence in a rain-slicked alley bathed in violet haze.","**Prompt Keywords & Visual Details:**

* **Subject:** A confident, barefoot female rider (Kitty) reclining back on a sleek hoverbike — relaxed yet poised.
* **Attire:** She wears form-fitting silk and chrome armor that reflects ambient light with metallic sheen; flowing fabric catches motion.
* **Expression/Action:** Joyful laughter — mouth open, eyes bright, head tilted back slightly — sharing a moment of levity with a companion beside her (partial view implied).
* **Vehicle:** Hoverbike — low-slung, futuristic design, glowing underbelly or thrusters subtly visible; chrome accents mirror neon surroundings.
* **Setting:** Rain-slicked urban alleyway at night — wet pavement reflects distorted neon signs and ambient glow.
* **Lighting Atmosphere:** Flickering neon hues (violet, cyan, magenta) cast surreal reflections on wet surfaces. Haze adds dreamlike softness to background shadows.
* **Background Element:** A police car parked behind them — headlights on but motionless; driver mid-sentence gesture frozen in time (slightly blurred for cinematic tension).
* **Mood/Style:** Cinematic noir-futurism — gritty urban grit meets high-tech glamor. Emotionally charged, dynamic composition with shallow depth of field.
* **Color Palette:** Dominated by violet haze, electric neon accents, reflective chrome, and saturated wet tones — contrasted against the rider’s warm skin tone and silk sheen.

**No text overlays.**

— End prompt —",,
S006,Vocal,18.682,22.962,4.28,Pending,,"Kitty leans back with bare feet dangling, her flowing silk and chrome armor catching flickering neon light as she glides effortlessly through an abandoned rooftop district. Her silhouette is bathed in electric purple haze, contrasting against the rain-slicked cityscape behind her.","**Prompt for AI Image Generator:**

*Scene:* A sleek, futuristic female warrior — “Kitty” — reclines languidly on a rain-drenched rooftop ledge, bare feet dangling over the edge. Her body is partially clad in flowing, iridescent silk that billows with motion, interwoven with polished chrome armor that glints and reflects neon hues. She glides effortlessly through an abandoned urban district, suspended mid-motion as if defying gravity.

*Lighting & Atmosphere:* The scene pulses with electric purple haze enveloping her silhouette — a surreal glow blending into the ambient neon reflections of distant buildings. Rain slicks the cityscape behind her, casting shimmering streaks and distorted reflections on wet concrete and shattered glass. Neon signs flicker erratically in crimson, cyan, and magenta, painting the background in fractured, cinematic light.

*Environment:* Abandoned rooftop district — rusted metal scaffolding, broken skylights, overgrown vines creeping across cracked tiles. Distant skyscrapers loom like skeletal giants under a stormy twilight sky. The city feels desolate yet alive with hidden energy.

*Style & Mood:* Cinematic cyberpunk aesthetic — high contrast, saturated neon tones against moody shadows. Ethereal and dynamic composition. Emphasize fluid motion: silk drifting, armor catching light, raindrops suspended in mid-air. Sense of quiet power and effortless grace amid decay.

*No text overlays.*",,
S007,Action,22.962,25.44705934211515,2.485059342115151,Pending,,"The duo leans back barefoot atop their hoverbike as neon signs flicker overhead in saturated purple tones, their flowing silk and chrome armor catching the glow like liquid mercury. Rain-slicked rooftops blur past beneath them, wind whipping through their hair as the cop car remains frozen mid-sentence behind.","**Keywords & Visual Details for AI Image Generator:**

* **Scene:** Two figures leaning back barefoot atop a sleek hoverbike, suspended in motion above rain-slicked city rooftops  
* **Lighting & Atmosphere:** Neon signs overhead casting saturated purple hues; ambient glow reflecting off wet surfaces and metallic surfaces  
* **Characters:** Flowing silk garments draped elegantly over chrome armor; fabric catching neon light like liquid mercury; wind-blown hair, dynamic movement suggested by posture and motion blur  
* **Vehicle:** Futuristic hoverbike with aerodynamic design, low to the ground, hovering slightly above rooftops; polished chrome surfaces gleaming under artificial light  
* **Background:** Urban skyline at night — blurred rooftop edges, rain streaks across glass and metal surfaces creating motion blur effects  
* **Static Element:** A cop car frozen mid-sentence behind them (implied by open mouth, windshield wipers still, headlights on) — contrast with the fluidity of the hoverbike scene  
* **Mood & Vibe:** Cinematic, high-energy, cyberpunk noir; sense of freedom and rebellion against urban grit; cinematic composition with shallow depth of field focusing on characters  
* **Color Palette:** Dominant purples from neon signs, mirrored in wet surfaces; metallic chrome accents, deep shadows contrasting with glowing highlights; hints of electric blue or magenta from distant lights

**No text overlays.**

This prompt balances dynamic motion, atmospheric lighting, and narrative implication — perfect for generating a visually rich cinematic scene with implied story tension.",,
S008,Action,25.44705934211515,27.900332701856183,2.4532733597410323,Pending,,"Rain-slicked neon alleyways pulse with electric violet haze as Kitty and her companion glide past flickering holographic ads — barefoot, carefree, silhouetted in chrome and silk against a wet, glowing cityscape. Their hoverbike leaves no tire marks, only shimmering trails of purple light that blur into the night.","**Prompt Keywords & Visual Details:**

*Neon-drenched alleyway at night — rain-slicked pavement reflecting electric violet haze, glossy chrome surfaces glistening under artificial glow. Holographic ads flicker in vibrant neon blues and pinks, casting shifting light across wet walls and puddles. Two figures glide barefoot on a sleek hoverbike — silhouetted against the luminous backdrop, wearing flowing silk garments with metallic accents (chrome-like sheen). Hoverbike trails shimmering purple energy streaks behind them, dissolving into mist as they move. No tire marks visible — only glowing motion trails. Cityscape beyond: towering skyscrapers wrapped in neon lights, raindrops suspended mid-air catching the glow. Moody cinematic lighting, shallow depth of field, high contrast between dark shadows and radiant neon. Urban cyberpunk atmosphere with dreamlike fluidity. No text overlays. Atmospheric, immersive, dynamic motion blur on light trails.*",,
S009,Action,27.900332701856183,31.109880231845175,3.209547529988992,Pending,,"Rain-slicked neon alleyways pulse with electric violet haze as Kitty’s hoverbike glides past flickering holographic ads, her leather-clad silhouette outlined in shimmering purple light. The wind whips through her hair as she leans back barefoot, silk and chrome armor catching the glow of overhead signs — carefree, defiant, suspended between gravity and neon.","**Scene Keywords & Visual Details:**

- **Setting:** Rain-slicked alleyway at night, wet pavement reflecting neon light  
- **Color Palette:** Electric violet haze dominates; deep purples, blues, and magenta highlights from holographic ads contrast with dark urban shadows  
- **Atmosphere:** Moody cyberpunk vibe — gritty yet glamorous, cinematic, immersive, rain-slicked surfaces shimmering under artificial glow  
- **Subject:** A lone female rider (Kitty) on a sleek hoverbike — silhouette outlined in pulsating purple neon  
- **Attire:** Sleek leather outfit with metallic chrome armor accents; flowing silk elements catching light as she moves  
- **Action:** Hoverbike glides smoothly through alley, slightly tilted as she leans back barefoot — wind whipping her hair dynamically  
- **Environment Details:** Flickering holographic ads hovering above — abstract or branded visuals (e.g., glowing product displays, floating text)  
- **Lighting:** Overhead neon signs cast sharp reflections and highlights on wet surfaces; ambient glow from distant buildings enhances depth  
- **Composition:** Low-angle shot emphasizing motion and freedom; rider centered but framed by alley walls to emphasize confinement vs. liberation  
- **Mood & Tone:** Defiant, carefree, rebellious — suspended between gravity and neon, exuding confidence and raw urban energy  

**Style Notes (for AI generator):** Cyberpunk aesthetic with high contrast lighting, cinematic composition, dynamic motion blur on raindrops and bike trails, stylized yet grounded realism. No text overlays.

— *Generate with emphasis on mood, texture of wet surfaces, glowing reflections, and fluid movement.*",,
S010,Action,31.109880231845175,33.32849611343615,2.218615881590975,Pending,,"Rain-slicked neon alleyways glow under a violet haze as the hoverbike’s electric purple trail slices through flickering holographic ads. The rider’s silhouette — leather-clad and confident — hovers mid-drift, her motion blurred by speed and wind whipping past chrome armor.","Rain-slicked alleyway  
Neon glow reflections on wet pavement  
Violet atmospheric haze  
Electric purple hoverbike trail (motion blur)  
Flickering holographic ads in background  
Rider silhouette — leather-clad outfit, confident posture  
Mid-drift maneuver, dynamic angle  
Motion blur from speed and wind  
Chrome armor details catching light  
Urban cyberpunk setting  
Low-angle shot emphasizing speed and height  
No text overlays  
Moody cinematic lighting with saturated neon tones",,
S011,Action,33.32849611343615,35.69981675463963,2.371320641203476,Pending,,"Rain-slicked neon alleyways glow violet under flickering holographic signs as a sleek hoverbike zips past, its trail of electric purple light slicing through the mist. The rider, Kitty — leather-clad and poised — glides with effortless grace, her silhouette sharp against the cyberpunk haze.","**Keywords & Visual Details for AI Image Generator:**

* **Setting**: Rain-slicked neon alleyway at night, wet pavement reflecting ambient glow  
* **Atmosphere**: Cyberpunk haze, mist swirling in low light, moody and cinematic  
* **Lighting**: Flickering holographic signs casting violet and electric purple hues; reflections on wet surfaces  
* **Foreground Action**: Sleek hoverbike zipping past — trail of glowing electric purple light slicing through mist  
* **Rider (Kitty)**: Silhouette in sharp focus, leather-clad (dark motorcyle jacket, pants, gloves), poised and confident posture  
* **Style**: High-detail cinematic render, Blade Runner meets neon-noir aesthetic  
* **Mood**: Futuristic grit, dynamic motion, urban mystery, immersive cyberpunk energy  
* **No Text Overlays** — pure visual storytelling  

*(Optional for AI engine: “Ultra HD 8K, Unreal Engine style, volumetric lighting, shallow depth of field, raindrop streaks on glass surfaces”)*",,
S012,Action,35.69981675463963,37.76525192200539,2.0654351673657594,Pending,,"Rain-slicked neon alleyways pulse with electric violet haze as a sleek hoverbike zips past flickering holographic billboards — its rider, Kitty, glides effortlessly in silhouette, leather-clad and smirking beneath the glow of cyberpunk signs. The air shimmers with glitch artifacts, trailing behind her like digital smoke.","**Prompt Keywords & Visual Details:**

- **Setting:** Rain-slicked neon alleyway at night — wet pavement reflects distorted holographic light, creating shimmering reflections.
- **Atmosphere:** Electric violet haze permeates the air; cyberpunk aesthetic with saturated neon glow (purples, magentas, electric blues).
- **Main Subject:** Sleek, futuristic hoverbike zipping through frame — low profile, glowing underbelly lights, aerodynamic design.
- **Rider:** Silhouette of Kitty — leather-clad in fitted black or dark metallic gear; confident smirk visible beneath helmet visor (glowing faintly with ambient light).
- **Background Elements:** Flickering holographic billboards displaying fragmented text and glitching imagery — some signs partially obscured by rain and digital distortion.
- **Visual Effects:** Glitch artifacts trailing behind rider like shimmering digital smoke or data trails; subtle chromatic aberration on edges of motion blur.
- **Lighting:** Neon glow dominates scene — reflections bounce off wet surfaces, casting long shadows. Holograms cast soft glows onto walls and ground.
- **Mood:** High-energy, cinematic, gritty yet stylish — evokes motion, rebellion, and urban futurism.
- **Composition:** Dynamic angle — rider moving diagonally across frame; shallow depth of field blurs background billboards while keeping hoverbike sharp.

No text overlays. All elements rendered in rich cyberpunk detail with emphasis on motion, neon contrast, and digital distortion effects.",,
